X,Y,OBJECTID,Latitude,Longitude,ID,City,ZIP,L1_evse,L2_evse,DCFC,Charger_Type
155687.093400002,-466449.4736,9347,33.804686,-118.318879,205630,Lomita,90717,0,2,0,Level 2 only
155686.543499999,-466455.0291,9348,33.804636,-118.318886,205631,Lomita,90717,0,2,0,Level 2 only
155518.284299999,-468533.9883,9349,33.785919,-118.3211,205641,Lomita,90717,0,4,0,Level 2 only
137476.287500001,-399896.9573,9350,34.407277,-118.50415,205642,Santa Clarita,91350,0,12,0,Level 2 only
157775.438099999,-443380.578,9351,34.012311,-118.291846,205643,Los Angeles,90037,0,6,0,Level 2 only
25186.6125000007,-136669.4011,9352,36.78656,-119.7174,205649,Clovis,93612,0,2,0,Level 2 only
25184.8465999998,-136674.9637,9353,36.78651,-119.71742,205650,Clovis,93612,0,2,0,Level 2 only
261738.1787,-567067.6751,9354,32.874514,-117.206264,205669,San Diego,92121,0,1,0,Level 2 only
195451.293099999,-468790.9362,9355,33.77640778,-117.8901889,205676,Orange,92868,0,0,8,DCFC only
154764.611400001,-425192.1601,9356,34.176727,-118.320949,205677,Burbank,91506,0,1,0,Level 2 only
148676.840500001,-445749.6938,9357,33.992391,-118.3907684,205678,Culver City,90230,0,3,0,Level 2 only
128862.2564,-435201.55,9358,34.090301,-118.603522,205679,Topanga,90290,0,2,0,Level 2 only
143829.370900001,-447349.679,9359,33.978698,-118.443511,205681,Marina Del Rey,90292,0,3,0,Level 2 only
-126337.9091,60460.3025000002,9360,38.551557,-121.451374,205688,Sacramento,95817,0,2,0,Level 2 only
-126336.6655,60473.2905999999,9361,38.551674,-121.451362,205689,Sacramento,95817,0,2,0,Level 2 only
12002.3869000003,-399812.8152,9362,34.417734,-119.869404,205690,Santa Barbara,93106,0,2,0,Level 2 only
-126337.757399999,60464.5247000009,9363,38.551595,-121.451373,205691,Sacramento,95817,0,2,0,Level 2 only
-138098.555299999,-111719.6383,9364,37.001183,-121.554037,205705,Gilroy,95020,0,2,0,Level 2 only
-138099.431500001,-111724.293099999,9365,37.001141,-121.554046,205706,Gilroy,95020,0,2,0,Level 2 only
207573.3182,-475526.0511,9366,33.71318,-117.7611,205721,Irvine,92620,0,0,4,DCFC only
169943.204999998,-452550.2252,9367,33.927604,-118.162067,205725,Downey,90242,0,10,0,Level 2 only
129843.546999998,-425616.5396,9368,34.17656,-118.591346,205733,Los Angeles,91367,0,2,0,Level 2 only
323798.392299999,-462949.2154,9369,33.794848,-116.503412,205745,Palm Springs,92264,0,1,0,Level 2 only
190255.7097,-456466.501,9370,33.88854,-117.94337,205746,Fullerton,92835,0,2,0,Level 2 only
190251.949900001,-456463.8092,9371,33.888565,-117.94341,205752,Fullerton,92835,0,2,0,Level 2 only
66790.1154999994,-185730.951400001,9372,36.343088,-119.254917,205756,Visalia,93292,0,1,0,Level 2 only
66789.9144000001,-185728.174699999,9373,36.343113,-119.254919,205757,Visalia,93292,0,1,0,Level 2 only
66790.1600000001,-185736.6187,9374,36.343037,-119.254917,205758,Visalia,93292,0,2,0,Level 2 only
66790.3156999983,-185733.617000001,9375,36.343064,-119.254915,205759,Visalia,93292,0,2,0,Level 2 only
-213259.8148,-39541.3409000002,9376,37.636189,-122.420257,205809,San Bruno,94066,0,0,28,DCFC only
-218028.0897,-29014.5207000002,9377,37.729744,-122.477468,205815,San Francisco,94132,0,2,0,Level 2 only
-218030.6524,-29190.0457000006,9378,37.728165,-122.477445,205816,San Francisco,94132,0,4,0,Level 2 only
103938.942400001,-414694.9947,9379,34.278113,-118.870943,205818,Moorpark,93021,0,0,1,DCFC only
144339.806400001,-427576.4192,9380,34.156847,-118.434455,205820,Sherman Oaks,91423,0,2,0,Level 2 only
12000.0885999985,-399812.1526,9381,34.41774,-119.869429,205829,Santa Barbara,93106,0,2,0,Level 2 only
-171247.584100001,-72746.6096000001,9382,37.346244,-121.935924,205832,Santa Clara,95053,0,2,0,Level 2 only
-171249.4165,-72745.3490999993,9383,37.346255,-121.935945,205833,Santa Clara,95053,0,2,0,Level 2 only
128401.2414,-424630.1481,9384,34.185642,-118.606834,205854,Los Angeles,91367,0,1,0,Level 2 only
194629.325199999,-434299.3662,9385,34.087472,-117.890777,205876,Covina,91723,0,2,0,Level 2 only
194657.8627,-434312.4903,9386,34.087348,-117.890471,205877,Covina,91723,0,2,0,Level 2 only
-173878.489700001,-69301.2852999996,9387,37.376744,-121.966465,205903,Santa Clara,95054,0,2,0,Level 2 only
-173880.7498,-69307.9096000008,9388,37.376684,-121.966489,205904,Santa Clara,95054,0,2,0,Level 2 only
16981.2661000006,-131269.4109,9389,36.835328,-119.809348,205910,Fresno,93704,0,1,0,Level 2 only
16976.1898999996,-131269.6434,9390,36.835326,-119.809405,205911,Fresno,93711,0,1,0,Level 2 only
16973.6068999991,-131269.5374,9391,36.835327,-119.809434,205912,Fresno,93711,0,1,0,Level 2 only
16968.4406999983,-131269.3255,9392,36.835329,-119.809492,205913,Fresno,93711,0,1,0,Level 2 only
195172.298799999,-457383.1621,9393,33.879303,-117.89046,205924,Fullerton,92831,0,2,0,Level 2 only
-137960.4663,-111075.786900001,9394,37.006995,-121.552602,205946,Gilroy,95020,0,0,1,DCFC only
195875.665399998,-457548.6376,9395,33.87767,-117.8829,205968,Fullerton,92831,0,1,0,Level 2 only
74381.7256000005,-415732.718,9396,34.271482,-119.192095,205979,Ventura,93004,0,2,0,Level 2 only
-174296.081800001,-69238.909,9397,37.377227,-121.971201,205996,Santa Clara,95054,0,2,0,Level 2 only
-174297.6478,-69220.6417999994,9398,37.377391,-121.971223,205997,Santa Clara,95054,0,2,0,Level 2 only
262350.379000001,-583172.922,9399,32.729,-117.2048,206005,San Diego,92101,0,2,0,Level 2 only
-210313.208699999,-22777.4454999994,9400,37.787613,-122.391629,206021,San Francisco,94105,0,2,0,Level 2 only
-210324.743000001,-22767.3685999997,9401,37.787701,-122.391763,206022,San Francisco,94105,0,1,0,Level 2 only
260332.611400001,-566402.1131,9402,32.880893,-117.22105,206023,La Jolla,92037,0,2,0,Level 2 only
260336.038600001,-566407.1101,9403,32.880847,-117.221015,206024,La Jolla,92037,0,2,0,Level 2 only
260333.6723,-566412.7202,9404,32.880797,-117.221042,206025,La Jolla,92037,0,2,0,Level 2 only
-157220.7006,191408.667099999,9405,39.724827,-121.83519,206031,Chico,95928,0,0,1,DCFC only
267202.9234,-585248.411,9406,32.708963,-117.153793,206049,San Diego,92101,0,9,0,Level 2 only
